stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
1000,1000,Frederick / King,,  43.449665, -80.487205,,,0,,1
1001,1001,Frederick / Irvin,,  43.452326, -80.484192,,,0,,1
1002,1002,Frederick / Otto,,  43.452995, -80.482913,,,0,,1
1003,1003,Frederick / Samuel,,  43.454826, -80.479511,,,0,,1
1004,1004,Frederick / Merner,,  43.456210, -80.476903,,,0,,1
1005,1005,Union / Dover,,  43.463995, -80.509249,,,0,,1
1006,1006,Frederick Street Mall,,  43.457923, -80.473576,,,0,,1
1007,1007,Frederick / Ann,,  43.459283, -80.469794,,,0,,1
1008,1008,Frederick / Bruce,,  43.459993, -80.467513,,,0,,1
1009,1009,Frederick / Lois,,  43.460916, -80.464637,,,0,,1
1010,1010,Frederick / River,,  43.461830, -80.461662,,,0,,1
1011,1011,Franklin / Lindsay,,  43.396304, -80.303910,,,0,,1
1012,1012,River / Manchester,,  43.458463, -80.454177,,,0,,1
1013,1013,River / Halliwell,,  43.457472, -80.450428,,,0,,1
1014,1014,River / Hickson,,  43.454284, -80.446675,,,0,,1
1015,1015,River / Path To Secord,,  43.452839, -80.445724,,,0,,1
1016,1016,River / Ottawa,,  43.451231, -80.444688,,,0,,1
1017,1017,River / Stanley Park Mall,,  43.448703, -80.443141,,,0,,1
1018,1018,River / Conway,,  43.447276, -80.442388,,,0,,1
1019,1019,River / Bradley,,  43.445723, -80.441426,,,0,,1
1020,1020,Maple Grove / Boxwood,,  43.427063, -80.364376,,,0,,1
1021,1021,Maple Grove / Boxwood,,  43.426855, -80.363843,,,0,,1
1022,1022,Huron / Strasburg,,  43.392897, -80.465131,,,0,,1
1023,1023,Victoria / Margaret,,  43.456329, -80.489504,,,0,,1
1024,1024,Forest Glen,,  43.414459, -80.478939,,http://www.grt.ca/en/travelwithus/terminalsstops.asp,0,place_FGP,1
1025,1025,Block Line / Country Hill,,  43.417036, -80.476022,,,0,,1
1026,1026,Oldfield / Batterswood,,  43.450825, -80.429724,,,0,,1
1027,1027,Oldfield / Casey,,  43.453000, -80.430717,,,0,,1
1028,1028,Block Line / Kingswood,,  43.417682, -80.473346,,,0,,1
1029,1029,Hanson / Ardelt,,  43.424669, -80.473866,,,0,,1
1030,1030,Ottawa / Heritage,,  43.454922, -80.433087,,,0,,1
1031,1031,The Family Centre,,  43.424826, -80.471167,,,0,,1
1032,1032,Activa Sportsplex,,  43.422910, -80.468877,,,0,,1
1033,1033,Block Line / Fallowfield,,  43.419023, -80.466600,,,0,,1
1034,1034,Fallowfield / Joshua,,  43.417490, -80.463332,,,0,,1
1035,1035,Fallowfield / Path To Fallview,,  43.413153, -80.459309,,,0,,1
1036,1036,Maple Grove / Fountain,,  43.424389, -80.378124,,,0,,1
1037,1037,The Boardwalk Medical Centre,,  43.440242, -80.565480,,,0,,1
1038,1038,Fairway / Idle Creek,,  43.441428, -80.418085,,,0,,1
1039,1039,Fairway / Old Chicopee,,  43.436770, -80.426298,,,0,,1
1040,1040,The Boardwalk / Lifestyle Way,,  43.437843, -80.562983,,,0,,1
1041,1041,Fairway / Morgan,,  43.430207, -80.431957,,,0,,1
1042,1042,Fairway / King,,  43.428821, -80.432155,,,0,,1
1043,1043,Fairway / King,,  43.427546, -80.432883,,,0,,1
1044,1044,Fairway / Wabinaki,,  43.423306, -80.436230,,,0,,1
1045,1045,Fairway / Fairview Park,,  43.421823, -80.439089,,,0,,1
1046,1046,Fairview Park,,  43.422831, -80.440846,,http://www.grt.ca/en/travelwithus/terminalsstops.asp,0,place_FVM,1
1047,1047,Fairway / Highway 8,,  43.424022, -80.434552,,,0,,2
1048,1048,Fairway / King,,  43.428883, -80.431858,,,0,,1
1049,1049,Fairway / Morgan,,  43.430448, -80.431658,,,0,,1
1050,1050,Fairway / Thaler,,  43.432222, -80.429911,,,0,,1
1051,1051,Bishop / 1000 Block,,  43.393802, -80.332356,,,0,,1
1052,1052,Fairway / River,,  43.434718, -80.427955,,,0,,1
1053,1053,Fairway / Fairway Cr.,,  43.441445, -80.417826,,,0,,1
1057,1057,Ottawa / Lackner,,  43.456410, -80.432057,,,0,,1
1058,1058,Cambridge Centre Station,,  43.392529, -80.322482,,http://www.grt.ca/en/schedules-maps/terminals-and-stations.aspx,0,place_CBC,1
1059,1059,Oldfield / Jadestone,,  43.452388, -80.430785,,,0,,1
1060,1060,Oldfield / Drumoak,,  43.450771, -80.429873,,,0,,1
1061,1061,Oldfield / Springmount,,  43.448874, -80.426888,,,0,,1
1062,1062,Oldfield / Lackner,,  43.449797, -80.424073,,,0,,1
1063,1063,Cambridge Centre Station,,  43.392495, -80.322734,,http://www.grt.ca/en/schedules-maps/terminals-and-stations.aspx,0,place_CBC,1
1064,1064,Cambridge Centre Station,,  43.392858, -80.322707,,http://www.grt.ca/en/schedules-maps/terminals-and-stations.aspx,0,place_CBC,1
1065,1065,Cambridge Centre Station,,  43.392901, -80.322464,,http://www.grt.ca/en/schedules-maps/terminals-and-stations.aspx,0,place_CBC,1
1066,1066,Cambridge Centre Station,,  43.392958, -80.322822,,http://www.grt.ca/en/schedules-maps/terminals-and-stations.aspx,0,place_CBC,1
1067,1067,Cambridge Centre Station,,  43.393002, -80.322530,,http://www.grt.ca/en/schedules-maps/terminals-and-stations.aspx,0,place_CBC,1
1068,1068,River / Bradley,,  43.445866, -80.441338,,,0,,1
1069,1069,River / Conway,,  43.447185, -80.442154,,,0,,1
1070,1070,River / Stanley Park Mall,,  43.449523, -80.443344,,,0,,1
1071,1071,River / Ottawa,,  43.451402, -80.444563,,,0,,1
1072,1072,River / Path To Breckenridge,,  43.453353, -80.445830,,,0,,1
1073,1073,River / Halliwell,,  43.457679, -80.450414,,,0,,1
